Tweet Date,Display Name,User Name,Tweet URL,Media Type,Media URL,Saved Filename,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024/8/17 23:30,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1824831207839818148/photo/1,Image,https://pbs.twimg.com/media/GVMOPOQWcAAhFzz.jpg,2024-08-17 23-30-img_711.jpg,"I grew up in a middle-class household. For most of my childhood, we were renters.

My mother saved for well over a decade to buy a home. I was a teenager when the day finally came—and I can still remember how excited she was.

In college, I worked at McDonald’s to earn spending https://t.co/rQu2uVTkVQ",134555,23149,14413
2024/8/18 23:00,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1825185984272577018/photo/1,Image,https://pbs.twimg.com/media/GVRc9ovWUAAwvmT.png,2024-08-18 23-00-img_709.jpg,"My administration will provide first-time homebuyers with $25,000 to help with the down payment on a new home. https://t.co/SDG3NomhXp",13586,3305,13107
2024/8/19 3:38,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1825255934144217381/photo/1,Image,https://pbs.twimg.com/media/GVSclOYW0AARu-I.jpg,2024-08-19 03-38-img_708.jpg,Our Harris-Walz bus tour is on the road in Pennsylvania. https://t.co/aadfKlJCoc,29991,5056,3177
2024/8/17 2:55,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1824520327180722673/photo/1,Image,https://pbs.twimg.com/media/GVH_hjDW0AAwMLt.png,2024-08-17 02-55-img_713.jpg,My plan to lower costs and expand opportunity for working and middle-class Americans. https://t.co/MIW7Ujd9kS,16586,5638,4807
2024/8/17 5:08,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1824553748187771113/photo/1,Image,https://pbs.twimg.com/media/GVId8qfWcAEgANW.png,2024-08-17 05-08-img_712.jpg,"At this moment when everyday prices are too high, Donald Trump will make them even higher. https://t.co/Ay7lw7hI1Y",9269,2918,12842
2024/8/16 5:17,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1824193848228319701/photo/1,Image,https://pbs.twimg.com/media/GVDWd1bXkAA5nCN.jpg,2024-08-16 05-17-img_715.jpg,"@Tim_Walz Watch my full conversation with @Tim_Walz: 

https://t.co/9Q9lF2poXq https://t.co/mq6tWa2H6v",2272,495,585
2024/8/16 22:00,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1824446216966426852/video/1,Video,https://video.twimg.com/amplify_video/1824446130391793664/vid/avc1/1080x1920/xMmykaLBnJoT8ihD.mp4?tag=16,2024-08-16 22-00-vid_714.mp4,"We are fighting for the future—and when we fight, we win. 

Thank you, Arizona. https://t.co/S9LfOrnz3u",16582,4074,2858
2024/8/16 2:21,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1824149342719992165/photo/1,Image,https://pbs.twimg.com/media/GVCuJJ4WgAATrLi.jpg,2024-08-16 02-21-img_716.jpg,"The more I get to know @Tim_Walz, the more I like him. And I liked him a lot to begin with.

Check out our full conversation: https://t.co/9Q9lF2oR7S https://t.co/CR0l8zztDb",23003,4500,4486
2024/8/16 0:45,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1824125237362929761/video/1,Video,https://video.twimg.com/amplify_video/1824125172363796480/vid/avc1/1080x1920/nG8Zno5XFp0nIQdf.mp4?tag=16,2024-08-16 00-45-vid_717.mp4,Bringing back the joy—one selfie at a time. https://t.co/DnihdfQmFw,26742,5056,8380
2024/8/15 10:12,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1823905620585480435/video/1,Video,https://video.twimg.com/ext_tw_video/1823905384622436352/pu/vid/avc1/720x720/kPlfSWqc1F7Kd4Fu.mp4?tag=12,2024-08-15 10-12-vid_718.mp4,"I could not imagine a better partner than @Tim_Walz to lead our campaign.

Watch our full conversation tomorrow: https://t.co/9Q9lF2oR7S https://t.co/gTPZVoPVQ8",41521,8167,7167
2024/8/15 0:36,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1823760542210671092/video/1,Video,https://video.twimg.com/amplify_video/1823760498732453889/vid/avc1/1080x1920/xoDg4x0nc8GkwQ_h.mp4?tag=16,2024-08-15 00-36-vid_719.mp4,"It was fantastic traveling across the country to meet voters with @Tim_Walz last week. 

When we fight, we… https://t.co/CvmZRqwXKv",40130,7609,8292
2024/8/12 8:52,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1822798239596229052/video/1,Video,https://video.twimg.com/amplify_video/1822798154271440896/vid/avc1/1080x1920/cHboUSD0cs1SFKbX.mp4?tag=16,2024-08-12 08-52-vid_722.mp4,"If Donald Trump wins in November, he will once again implement policies that target the LGBTQ+ community.

We know he will—just look at what he did his first term in office. https://t.co/quwxlynNa7",27330,6927,14327
2024/8/13 6:30,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1823124907133173865/video/1,Video,https://video.twimg.com/amplify_video/1823124821875593217/vid/avc1/1080x1920/SRD5dGi81A-hCIE4.mp4?tag=16,2024-08-13 06-30-vid_720.mp4,"Thank you for the warm midwest welcome, Wisconsin and Michigan.

With your help, we are going to win in November. https://t.co/bdzprQ6XvA",38748,7700,6012
2024/8/13 4:21,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1823092364467950045/photo/1,Image,https://pbs.twimg.com/media/GUzs072WsAAvuke.jpg,2024-08-13 04-21-img_721.jpg,"One thing that unites us as Americans is our love for our country. The highest form of patriotism is to fight for the ideals of our country. 

That is how we preserve the promise of America. https://t.co/k2KFHA99jh",22161,4901,6888
2024/8/12 0:29,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1822671654671065532/photo/1,Image,https://pbs.twimg.com/media/GUtuLJRXAAEEZ9c.jpg,2024-08-12 00-29-img_726.jpg,".@Tim_Walz and I kicked off our first week on the campaign trail as running mates—and, in just five days, we visited Pennsylvania, Michigan, Wisconsin, Arizona and Nevada. 

Over the next 86 days, we hope to see you all out on the trail. https://t.co/jeWqgzgJJF",51780,9665,6531
2024/8/12 0:29,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1822671654671065532/photo/1,Image,https://pbs.twimg.com/media/GUtuItbW0AI8-Lk.jpg,2024-08-12 00-29-img_724.jpg,".@Tim_Walz and I kicked off our first week on the campaign trail as running mates—and, in just five days, we visited Pennsylvania, Michigan, Wisconsin, Arizona and Nevada. 

Over the next 86 days, we hope to see you all out on the trail. https://t.co/jeWqgzgJJF",51780,9665,6531
2024/8/12 2:20,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1822699636903051265/video/1,Video,https://video.twimg.com/amplify_video/1822699509626884096/vid/avc1/1080x1920/lXuxqRd8F2X22_d_.mp4?tag=16,2024-08-12 02-20-vid_723.mp4,"This week, @Tim_Walz and I kicked off our campaign together—it has been electric. 

Thank you, Pennsylvania! https://t.co/G5Fq58uAcX",30886,6917,5431
2024/8/12 0:29,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1822671654671065532/photo/1,Image,https://pbs.twimg.com/media/GUtuJ7BXYAAsPwc.jpg,2024-08-12 00-29-img_725.jpg,".@Tim_Walz and I kicked off our first week on the campaign trail as running mates—and, in just five days, we visited Pennsylvania, Michigan, Wisconsin, Arizona and Nevada. 

Over the next 86 days, we hope to see you all out on the trail. https://t.co/jeWqgzgJJF",51780,9665,6531
